step,td_loss,q_data,q_max_ood,wall_time
1000,599.5609741210938,13.803580284118652,25.396244049072266,7.0
2000,497.97772216796875,60.9152946472168,76.86491394042969,14.7
3000,556.637451171875,90.45098876953125,106.7646484375,22.7
4000,938.8802490234375,152.93202209472656,184.59727478027344,31.0
5000,974.734619140625,215.55584716796875,242.3030242919922,39.1
