step,loss_v,loss_q,loss_pi,q_data,wall_time
4000,64.7551498413086,1129.2379150390625,135.03640747070312,-122.90113830566406,40.1
8000,59.699790954589844,900.3482666015625,94.52928161621094,-290.80853271484375,84.3
12000,33.74631881713867,1250.666748046875,123.03593444824219,-373.0364685058594,126.4
