step,loss_v,loss_q,loss_pi,q_data,wall_time
5000,66.71956634521484,912.1461181640625,133.98870849609375,-137.06231689453125,50.4
10000,44.206443786621094,2605.177734375,132.38470458984375,-340.487548828125,104.2
15000,47.407684326171875,2971.94677734375,112.4825668334961,-491.03533935546875,154.1
20000,71.5548095703125,3568.712646484375,85.5269546508789,-590.2748413085938,205.0
