estimator,value,std,true_value,gap
IS,0.0,0.0,-128.81466666666674,128.81466666666674
PDIS,0.009216208342706684,0.14439615255393962,-128.81466666666674,128.82388287500945
DR,-76.34989698012515,10.160086292088057,-128.81466666666674,52.46476968654159
