step,loss,wall_time
1000,3.334120787858963,6.2
2000,2.2874652857780458,10.7
3000,2.226275556087494,16.0
4000,2.2000490939617157,20.5
5000,2.1799168932437896,24.8
6000,2.1623021851778033,29.3
7000,2.1453293383121492,35.4
8000,2.1295291101932525,44.2
9000,2.112887868642807,53.1
