step,lam,cost_mean,loss_q,loss_qc,wall_time
1000,9.97418212890625,0.0546875,5767.8974609375,0.25303956866264343,22.5
2000,9.97418212890625,0.0546875,1546.9315185546875,0.15643200278282166,44.0
3000,9.97418212890625,0.0859375,4834.35302734375,0.38064059615135193,60.1
4000,9.97418212890625,0.05078125,3066.243408203125,0.34537962079048157,75.5
5000,9.97418212890625,0.0703125,1124.5174560546875,0.21986210346221924,90.7
